Iteration	Posterior	Likelihood	Prior	ratePrior	y[1]	y[2]	y[3]	y[4]	y[5]	y[6]	y[7]	y[8]	y[9]	y[10]
2540	-25.54482	-22.28987	-3.254951	4.829744	2	2	5	5	6	5	1	3	9	5
2550	-24.8315	-21.98811	-2.843388	4.30261	2	2	5	5	6	5	1	3	9	5
2560	-25.1099	-22.8729	-2.236996	3.48565	2	2	5	5	6	5	1	3	9	5
2570	-24.75041	-22.00804	-2.742362	4.170366	2	2	5	5	6	5	1	3	9	5
2580	-24.80984	-21.98893	-2.820901	4.273284	2	2	5	5	6	5	1	3	9	5
2590	-25.14387	-22.07994	-3.063927	4.587196	2	2	5	5	6	5	1	3	9	5
2600	-25.23517	-22.12266	-3.112512	4.649209	2	2	5	5	6	5	1	3	9	5
2610	-24.72812	-22.03106	-2.697065	4.110645	2	2	5	5	6	5	1	3	9	5
2620	-25.59463	-22.31903	-3.275598	4.855764	2	2	5	5	6	5	1	3	9	5
2630	-24.96567	-22.01214	-2.953528	4.445398	2	2	5	5	6	5	1	3	9	5
2640	-24.8291	-21.9881	-2.840995	4.299492	2	2	5	5	6	5	1	3	9	5
2650	-25.39162	-22.20367	-3.187954	4.745057	2	2	5	5	6	5	1	3	9	5
2660	-26.43748	-22.86407	-3.573407	5.227302	2	2	5	5	6	5	1	3	9	5
2670	-25.40681	-22.21195	-3.194862	4.753808	2	2	5	5	6	5	1	3	9	5
2680	-24.79825	-22.36694	-2.43131	3.75418	2	2	5	5	6	5	1	3	9	5
2690	-24.71182	-22.10772	-2.604098	3.987183	2	2	5	5	6	5	1	3	9	5
2700	-25.82002	-22.45644	-3.363579	4.966243	2	2	5	5	6	5	1	3	9	5
2710	-25.1625	-22.08832	-3.074179	4.6003	2	2	5	5	6	5	1	3	9	5
2720	-24.92772	-22.00185	-2.925865	4.409663	2	2	5	5	6	5	1	3	9	5
2730	-24.84559	-22.45692	-2.388674	3.695897	2	2	5	5	6	5	1	3	9	5
2740	-24.8069	-22.38417	-2.422728	3.742475	2	2	5	5	6	5	1	3	9	5
2750	-25.26747	-23.09307	-2.174396	3.397409	2	2	5	5	6	5	1	3	9	5
2760	-24.8319	-22.43187	-2.400029	3.711452	2	2	5	5	6	5	1	3	9	5
2770	-25.20075	-22.10609	-3.094663	4.626453	2	2	5	5	6	5	1	3	9	5
2780	-25.79237	-23.77084	-2.021528	3.177679	2	2	5	5	6	5	1	3	9	5
2790	-27.76278	-26.0628	-1.699984	2.689245	2	2	5	5	6	5	1	3	9	5
2800	-24.80466	-22.37975	-2.424908	3.745449	2	2	5	5	6	5	1	3	9	5
2810	-24.91018	-22.56804	-2.342146	3.631903	2	2	5	5	6	5	1	3	9	5
2820	-24.83635	-22.44009	-2.396263	3.706296	2	2	5	5	6	5	1	3	9	5
2830	-25.81362	-23.79717	-2.016444	3.170257	2	2	5	5	6	5	1	3	9	5
2840	-25.01824	-22.02931	-2.988929	4.491005	2	2	5	5	6	5	1	3	9	5
2850	-25.2558	-22.13284	-3.122965	4.662521	2	2	5	5	6	5	1	3	9	5
2860	-25.45966	-22.24124	-3.218418	4.783614	2	2	5	5	6	5	1	3	9	5
2870	-24.74635	-22.01103	-2.735313	4.16109	2	2	5	5	6	5	1	3	9	5
2880	-24.73084	-22.20454	-2.526294	3.882869	2	2	5	5	6	5	1	3	9	5
2890	-25.80808	-23.79032	-2.017763	3.172183	2	2	5	5	6	5	1	3	9	5
2900	-24.75189	-22.26383	-2.48806	3.831251	2	2	5	5	6	5	1	3	9	5
2910	-24.98896	-22.69331	-2.295649	3.567519	2	2	5	5	6	5	1	3	9	5
2920	-24.71227	-22.1151	-2.597167	3.977928	2	2	5	5	6	5	1	3	9	5
2930	-25.00026	-22.02311	-2.977152	4.475848	2	2	5	5	6	5	1	3	9	5
2940	-25.87322	-22.48997	-3.383241	4.990847	2	2	5	5	6	5	1	3	9	5
2950	-25.24305	-22.12653	-3.116526	4.654322	2	2	5	5	6	5	1	3	9	5
2960	-24.71315	-22.07413	-2.639023	4.03371	2	2	5	5	6	5	1	3	9	5
2970	-24.7154	-22.1409	-2.574505	3.947617	2	2	5	5	6	5	1	3	9	5
2980	-24.88624	-22.52798	-2.358259	3.654113	2	2	5	5	6	5	1	3	9	5
2990	-25.123	-22.07079	-3.052212	4.572208	2	2	5	5	6	5	1	3	9	5
