Iteration	Posterior	Likelihood	Prior	r1	r2
46000	-100.0647	-100.4098	0.3450857	0.07565101	0.4449533
46200	-98.35566	-98.54361	0.187951	0.1111962	0.4879755
46400	-103.3059	-99.00864	-4.297272	0.4790339	2.362749
46600	-100.1937	-99.05165	-1.142003	0.2899052	0.9742436
46800	-104.0136	-101.086	-2.927581	0.5764626	1.580475
47000	-99.32208	-98.92196	-0.4001208	0.2014134	0.6917942
47200	-100.9983	-98.97599	-2.022348	0.2887024	1.415619
47400	-100.614	-99.33198	-1.282067	0.2155042	1.118677
47600	-100.028	-99.73207	-0.2959634	0.2060752	0.6350537
47800	-99.40705	-98.52372	-0.8833349	0.2121945	0.9226201
48000	-97.70627	-98.92358	1.217307	0.01442998	0.07006373
48200	-98.05329	-98.95334	0.9000502	0.0413269	0.2017952
48400	-98.16921	-98.46381	0.2946014	0.1058457	0.4400008
48600	-97.26218	-98.5611	1.298919	0.008059589	0.03562812
48800	-100.7968	-98.81915	-1.977625	0.3735288	1.308431
49000	-102.3296	-99.6092	-2.720422	0.4979949	1.555363
49200	-100.6492	-98.51763	-2.131597	0.3644828	1.394463
49400	-101.5941	-99.84968	-1.744438	0.3870586	1.178307
49600	-98.98626	-99.02185	0.0355831	0.1136229	0.5617328
49800	-98.48856	-98.64893	0.1603703	0.1318948	0.4810672
50000	-98.84936	-99.19807	0.3487136	0.08520143	0.4335889
50200	-105.6571	-99.10348	-6.553652	0.6602436	3.309729
50400	-101.2353	-100.7406	-0.4947408	0.2466068	0.6939107
50600	-99.26133	-98.59596	-0.6653736	0.1872592	0.8385748
50800	-100.9201	-98.97353	-1.946568	0.2823896	1.384041
51000	-100.5087	-98.47914	-2.029514	0.3266998	1.381205
51200	-100.0877	-99.2771	-0.8105642	0.2583054	0.8401239
51400	-99.43174	-99.43676	0.0050228	0.1649548	0.5256809
51600	-100.6859	-99.6741	-1.011797	0.1864824	1.012563
51800	-99.64038	-99.72987	0.08949009	0.1588293	0.4895728
52000	-97.95288	-98.55848	0.6055979	0.07207414	0.3182741
52200	-99.04469	-98.54096	-0.5037227	0.1975159	0.7474926
52400	-103.425	-101.1068	-2.318219	0.4955788	1.356678
52600	-98.38796	-98.97115	0.5831887	0.06807091	0.3334819
52800	-98.14219	-98.49546	0.3532654	0.1059687	0.4105458
53000	-100.0372	-99.80765	-0.2295695	0.1991266	0.6088053
53200	-100.0018	-98.63045	-1.371327	0.2493742	1.129436
53400	-99.49968	-98.47955	-1.020131	0.2445962	0.9586163
53600	-102.382	-98.45714	-3.924825	0.5223882	2.133171
53800	-99.77963	-98.55406	-1.225562	0.2414825	1.064446
54000	-99.24718	-99.29926	0.05208084	0.1081807	0.558926
54200	-99.35773	-99.85963	0.501898	0.1094226	0.3327756
54400	-100.3235	-98.87532	-1.448133	0.3174488	1.099765
54600	-99.03241	-98.47937	-0.5530406	0.1854553	0.7842122
54800	-97.62593	-98.63936	1.013436	0.04002888	0.1464005
55000	-102.0158	-102.374	0.3582197	0.06491695	0.4491204
55200	-99.50406	-98.71631	-0.7877535	0.1927515	0.8942724
55400	-99.88262	-98.83649	-1.046137	0.2107554	1.00546
55600	-100.0046	-98.4691	-1.535501	0.2945956	1.166302
55800	-98.23052	-98.85763	0.6271072	0.08480329	0.2947903
56000	-98.28625	-98.45748	0.1712239	0.1192719	0.4882634
56200	-100.092	-98.49158	-1.600421	0.2834715	1.209886
56400	-99.43135	-98.62412	-0.8072318	0.1986857	0.8980774
56600	-99.78823	-99.79602	0.007790059	0.1058857	0.5833664
56800	-101.159	-98.80986	-2.349174	0.3251997	1.542534
57000	-100.031	-98.96774	-1.063224	0.2778967	0.9468626
57200	-99.09985	-98.66115	-0.4386983	0.1968723	0.715624
57400	-98.80289	-98.64235	-0.1605439	0.1394655	0.6339536
57600	-98.43308	-98.58627	0.1531985	0.1306464	0.4859015
57800	-101.0099	-99.18967	-1.820238	0.3735593	1.229707
